Name,Country,Position,Age,Team_from,Team_to,League_from,Season,Window, Fee ( Euros Mn) , Transfer Rating 
Rio Ferdinand,England,CB,22,West Ham,Leeds,Premier League,2000-2001,Summer, 26.00 , 7.96 
Jimmy Floyd Hasselbaink,Netherlands,CF,28,Atlético Madrid,Chelsea,La Liga,2000-2001,Summer, 22.50 , 7.72 
Sergiy Rebrov,Ukraine,SS,26,Dynamo Kyiv,Spurs,Ukraine Premier League,2000-2001,Summer, 18.00 , 4.85 
Sylvain Wiltord,France,SS,26,G. Bordeaux,Arsenal,Ligue 1,2000-2001,Summer, 17.50 , 7.94 
Francis Jeffers,England,CF,20,Everton,Arsenal,Premier League,2001-2002,Summer, 15.30 , 5.02 
Juan Pablo Ángel,Columbia,CF,25,River Plate,Villa,Primeria Division,2000-2001,Winter, 14.40 , 7.55 
Ugo Ehiogu,England,CB,27,Villa,Middlesbrough,Premier League,2000-2001,Winter, 12.20 , 7.02 
Jesper Grönkjaer,Denmark,LW,23,AFC Ajax,Chelsea,Eredivisie,2000-2001,Winter, 11.85 , 6.41 
Fabien Barthez,France,GK,29,Monaco,United,Ligue 1,2000-2001,Summer, 11.70 , 6.33 
Laurén,Cameroon,RB,23,RCD Mallorca,Arsenal,La Liga,2000-2001,Summer, 10.70 , 7.37 
Olivier Dacourt,France,DM,25,Lens,Leeds,Ligue 1,2000-2001,Summer, 10.50 , 7.21 
Carl Cort,England,CF,22,MK Dons,Newcastle,Championship,2000-2001,Summer, 10.50 , 4.87 
Robert Pirès,France,LM,26,Marseille,Arsenal,Ligue 1,2000-2001,Summer, 9.80 , 8.07 
Craig Bellamy,Wales,LW,21,Norwich,Coventry,Championship,2000-2001,Summer, 9.25 , 6.22 
Mark Viduka,Australia,CF,24,Celtic,Leeds, SPL,2000-2001,Summer, 9.15 , 7.71 
Alpay Özalan,Turkey,CB,27,Fenerbahce,Villa,Super Lig,2000-2001,Summer, 9.00 , 7.08 
Christian Ziege,Germany,LM,28,Middlesbrough,Liverpool,Premier League,2000-2001,Summer, 9.00 , 5.78 
Nick Barmby,England,LM,26,Everton,Liverpool,Premier League,2000-2001,Summer, 9.00 , 5.22 
Christian Karembeu,France,DM,29,Real Madrid,Middlesbrough,La Liga,2000-2001,Summer, 8.75 , 5.37 
Mario Stanic,Croatia,RW,28,Parma,Chelsea,Serie A,2000-2001,Summer, 8.40 , 6.04 
Igor Biscan,Croatia,CB,22,Dinamo Zagreb,Liverpool, HNL,2000-2001,Summer, 8.25 , 6.77 
Ben Thatcher,England,LB,24,MK Dons,Spurs,Championship,2000-2001,Summer, 7.54 , 5.69 
Eidur Gudjohnsen,Iceland,CF,21,Bolton,Chelsea,Championship,2000-2001,Summer, 7.50 , 7.57 
Dominic Matteo,Scotland,LB,26,Liverpool,Leeds,Premier League,2000-2001,Summer, 7.13 , 7.62 
Hermann Hreidarsson,Iceland,CB,25,MK Dons,Ipswich,Championship,2000-2001,Summer, 6.75 , 6.44 
Émerson Thome,Brazil,CB,28,Chelsea,Sunderland,Premier League,2000-2001,Summer, 6.70 , 5.42 
Alex Nyarko,Ghana,CB,26,Lens,Everton,Ligue 1,2000-2001,Summer, 6.30 , 4.88 
Claus Jensen,Denmark,AM,23,Bolton,Charlton,Championship,2000-2001,Summer, 6.00 , 7.22 
Duncan Ferguson,Scotland,CF,28,Newcastle,Everton,Premier League,2000-2001,Summer, 5.40 , 7.27 
Christian Bassedas,Argentina,AM,27,Vélez Sarsfield,Newcastle,Primeria Division,2000-2001,Summer, 5.30 , 4.71 
Giorgi Kinkladze,Georgia,AM,27,AFC Ajax,Derby,Eredivisie,2000-2001,Summer, 5.00 , 5.13 
Julio Arca,Argentina,CM,19,Argentinos,Sunderland,Primeria Division,2000-2001,Summer, 4.70 , 7.02 
Richard Dunne,Ireland,CB,21,Everton,City,Premier League,2000-2001,Summer, 4.50 , 7.53 
Gary Rowett,England,RB,26,Birmingham,Leicester,Championship,2000-2001,Summer, 4.50 , 6.09 
David Thompson,England,RM,22,Liverpool,Coventry,Premier League,2000-2001,Summer, 4.50 , 7.35 
Alessandro Pistone,England,LB,24,Newcastle,Everton,Premier League,2000-2001,Summer, 4.50 , 5.29 
Joseph-Désiré Job,Cameroon,CF,22,Lens,Middlesbrough,Ligue 1,2000-2001,Summer, 4.50 , 6.55 
Radostin Kishishev,Bulgaria,DM,25,Litex Lovetch,Charlton, Bulgaria,2000-2001,Summer, 4.50 , 7.51 
Bernard Diomède,France,LW,26,AJ Auxerre,Liverpool,Ligue 1,2000-2001,Summer, 4.50 , 4.52 
Jonatan Johansson,Finland,CF,24,Rangers,Charlton, SPL,2000-2001,Summer, 4.30 , 5.77 
Rigobert Song,Cameroon,CB,24,Liverpool,West Ham,Premier League,2000-2001,Summer, 4.10 , 5.41 
Niclas Alexandersson,Sweden,RM,28,Sheff Wed,Everton,Championship,2000-2001,Summer, 3.80 , 4.92 
Darren Huckerby,England,RW,24,Leeds,City,Premier League,2000-2001,Winter, 3.80 , 7.07 
David Hopkin,Scotland,RM,29,Leeds,Bradford,Premier League,2000-2001,Summer, 3.75 , 5.55 
Alf-Inge Haland,Norway,DM,27,Leeds,City,Premier League,2000-2001,Summer, 3.75 , 6.07 
Lomana LuaLua,DR Congo,SS,19,Colchester Utd.,Newcastle,Championship,2000-2001,Summer, 3.75 , 6.55 
Steve Watson,England,RM,26,Villa,Everton,Premier League,2000-2001,Summer, 3.75 , 6.79 
Lee Carsley,England,DM,26,Blackburn,Coventry,Championship,2000-2001,Winter, 3.75 , 7.03 
Don Hutchison,England,AM,29,Everton,Sunderland,Premier League,2000-2001,Summer, 3.75 , 7.31 
Thomas Gravesen,Denmark,DM,24,Hamburger SV,Everton,Bundesliga,2000-2001,Summer, 3.50 , 7.83 
Stephen Hughes,England,DM,23,Arsenal,Everton,Premier League,2000-2001,Summer, 3.50 , 5.22 
Alen Boksic,Croatia,CF,30,Lazio,Middlesbrough,Serie A,2000-2001,Summer, 3.45 , 6.94 
Danny Higginbotham,England,CB,21,United,Derby,Premier League,2000-2001,Summer, 3.00 , 6.77 
Andrew O'Brien,Ireland,CB,21,Bradford,Newcastle,Premier League,2000-2001,Winter, 3.00 , 7.02 
Noel Whelan,England,CF,25,Coventry,Middlesbrough,Premier League,2000-2001,Summer, 3.00 , 5.92 
Shaun Bartlett,South Africa,CF,28,FC Zürich,Charlton,Swiss Super League,2000-2001,Summer, 3.00 , 6.17 
Bjørn Otto Bragstad,Norway,CB,29,Rosenborg BK,Derby,Eliteserien,2000-2001,Summer, 3.00 , 5.03 
Gary Naysmith,Scotland,LB,21,Heart of Midl.,Everton, SPL,2000-2001,Winter, 2.63 , 7.11 
Christian Dailly,Scotland,CB,27,Blackburn,West Ham,Championship,2000-2001,Winter, 2.60 , 6.04 
Callum Davidson,Scotland,LB,24,Blackburn,Leicester,Championship,2000-2001,Summer, 2.50 , 5.87 
Trevor Benjamin,Jamaica,CF,21,Cambridge Utd.,Leicester,Championship,2000-2001,Summer, 2.25 , 5.42 
Bernt Haas,Switzerland,RB,22,Grasshoppers,Sunderland,Swiss Super League,2001-2002,Summer, 2.10 , 5.21 
Chris Makin,England,LB,27,Sunderland,Ipswich,Premier League,2001-2002,Summer, 2.10 , 5.33 
Ashley Ward,England,CF,29,Blackburn,Bradford,Championship,2000-2001,Summer, 2.10 , 6.07 
Slavisa Jokanovic,Serbia,DM,32,Deportivo,Chelsea,La Liga,2000-2001,Summer, 1.90 , 5.46 
Juan Sebastián Verón,Argentina,CM,26,Lazio,United,Serie A,2001-2002,Summer, 42.60 , 5.03 
Ruud van Nistelrooy,Netherlands,CF,25,PSV Eindhoven,United,Eredivisie,2001-2002,Summer, 28.50 , 8.42 
Robbie Keane,Ireland,CF,20,Inter,Leeds,Serie A,2001-2002,Summer, 18.00 , 6.38 
Steve Marlet,France,CF,27,Olympique Lyon,Fulham,Ligue 1,2001-2002,Summer, 17.60 , 5.02 
Robbie Fowler,England,CF,26,Liverpool,Leeds,Premier League,2001-2002,Winter, 16.80 , 7.06 
Frank Lampard,England,CM,23,West Ham,Chelsea,Premier League,2001-2002,Summer, 16.00 , 8.55 
Laurent Robert,France,LW,26,Paris SG,Newcastle,Ligue 1,2001-2002,Summer, 14.33 , 7.14 
Giovanni van Bronckhorst,Netherlands,LB,26,Rangers,Arsenal, SPL,2001-2002,Summer, 13.50 , 6.48 
Andy Cole,England,CF,30,United,Blackburn,Premier League,2001-2002,Winter, 12.20 , 6.85 
Dean Richards,England,CB,27,Southampton,Spurs,Premier League,2001-2002,Summer, 12.15 , 5.27 
Seth Johnson,England,CM,22,Derby,Leeds,Premier League,2001-2002,Summer, 11.50 , 4.91 
Emmanuel Petit,France,DM,30,Barcelona,Chelsea,La Liga,2001-2002,Summer, 11.50 , 6.33 
Diego Forlán,Uruguay,SS,22,Independiente,United,Primeria Division,2001-2002,Summer, 11.00 , 5.07 
Corrado Grabbi,Italy,CF,25,Ternana,Blackburn,Serie B,2001-2002,Summer, 10.70 , 4.95 
Edwin van der Sar,Netherlands,GK,30,Juventus,Fulham,Serie A,2001-2002,Summer, 10.30 , 7.11 
Gareth Southgate,England,CB,30,Villa,Middlesbrough,Premier League,2001-2002,Summer, 9.75 , 7.09 
William Gallas,France,CB,23,Marseille,Chelsea,Ligue 1,2001-2002,Summer, 9.30 , 7.47 
Craig Bellamy,Wales,LW,21,Coventry,Newcastle,Championship,2001-2002,Summer, 9.00 , 7.72 
Richard Wright,England,GK,23,Ipswich,Arsenal,Premier League,2001-2002,Summer, 9.00 , 5.30 
Edú Gaspar,Brazil,CM,23,Corinthians,Arsenal, Brasileiro,2001-2002,Summer, 8.75 , 7.28 
Tomás Repka,Czech Republic,CB,27,Fiorentina,West Ham,Serie A,2001-2002,Summer, 8.25 , 6.77 
Chris Kirkland,England,GK,20,Coventry,Liverpool,Championship,2001-2002,Summer, 8.20 , 6.48 
Boudewijn Zenden,Netherlands,LW,24,Barcelona,Chelsea,La Liga,2001-2002,Summer, 8.00 , 5.74 
Bosko Balaban,Croatia,CF,22,Dinamo Zagreb,Villa, HNL,2001-2002,Summer, 7.80 , 4.32 
Jermaine Jenas,England,CM,18,Nottm Forest,Newcastle,Championship,2001-2002,Summer, 7.50 , 7.02 
Jason Euell,Jamaica,SS,24,MK Dons,Charlton,Championship,2001-2002,Summer, 7.50 , 7.04 
Don Hutchison,England,AM,30,Sunderland,West Ham,Premier League,2001-2002,Summer, 7.50 , 4.92 
Peter Crouch,England,CF,21,Portsmouth,Villa,Championship,2001-2002,Summer, 7.50 , 5.67 
Jerzy Dudek,Poland,GK,28,Feyenoord,Liverpool,Eredivisie,2001-2002,Summer, 7.40 , 7.25 
Jesper Blomqvist,Sweden,LM,27,United,Everton,Premier League,2001-2002,Winter, 7.00 , 4.92 
Milan Baros,Czech Republic,CF,20,Banik Ostrava,Liverpool,Fortuna Liga,2001-2002,Winter, 7.00 , 7.01 
Olof Mellberg,Sweden,CB,23,Racing,Villa,La Liga2,2001-2002,Summer, 6.80 , 7.20 
Szilard Nemeth,Slovakia,SS,23,Inter Bratislava,Middlesbrough, Slovakia,2001-2002,Summer, 6.75 , 6.26 
Tomasz Radzinski,Canada,CF,27,RSC Anderlecht,Everton,Jupiler Pro League,2001-2002,Summer, 6.75 , 7.07 
Claudio Reyna,United States,CM,28,Rangers,Sunderland, SPL,2001-2002,Winter, 6.70 , 6.44 
Steed Malbranque,France,CM,21,Olympique Lyon,Fulham,Ligue 1,2001-2002,Summer, 6.60 , 7.02 
Christian Ziege,Germany,LM,29,Liverpool,Spurs,Premier League,2001-2002,Summer, 6.50 , 5.79 
Matteo Sereni,Italy,GK,26,Sampdoria,Ipswich,Serie B,2001-2002,Summer, 6.25 , 5.61 
John Arne Riise,Norway,LB,20,Monaco,Liverpool,Ligue 1,2001-2002,Summer, 6.10 , 7.43 
Luke Young,England,RB,21,Spurs,Charlton,Premier League,2001-2002,Summer, 6.00 , 7.06 
Rory Delap,Ireland,CM,25,Derby,Southampton,Premier League,2001-2002,Summer, 6.00 , 6.77 
Goran Bunjevcevic,Serbia,CB,28,Red Star,Spurs, Serbia,2001-2002,Summer, 6.00 , 4.92 
Agustín Delgado,Ecuador,CF,27,Necaxa,Southampton, Mexico,2001-2002,Summer, 5.75 , 4.78 
Sylvain Legwinski,France,LM,28,G. Bordeaux,Fulham,Ligue 1,2001-2002,Summer, 5.25 , 6.81 
Jon Harley,England,LB,21,Chelsea,Fulham,Premier League,2001-2002,Summer, 5.25 , 4.96 
Nicolás Medina,Argentina,DM,19,Argentinos,Sunderland,Primeria Division,2001-2002,Summer, 5.25 , 4.71 
Lilian Laslandes,France,CF,29,G. Bordeaux,Sunderland,Ligue 1,2001-2002,Summer, 5.00 , 4.69 
David James,England,GK,30,Villa,West Ham,Premier League,2001-2002,Summer, 4.80 , 6.03 
Marcus Bent,England,CF,23,Blackburn,Ipswich,Premier League,2001-2002,Summer, 4.50 , 7.11 
Matthew Jones,Wales,CM,20,Leeds,Leicester,Premier League,2001-2002,Summer, 4.50 , 5.40 
James Scowcroft,England,CF,25,Ipswich,Leicester,Premier League,2001-2002,Summer, 4.50 , 7.11 
Finidi George,Nigeria,RW,30,RCD Mallorca,Ipswich,La Liga,2001-2002,Summer, 4.20 , 6.38 
François Grenet,France,RB,26,G. Bordeaux,Derby,Ligue 1,2001-2002,Winter, 4.19 , 4.81 
Mustapha Hadji,Morocco,AM,29,Coventry,Villa,Championship,2001-2002,Summer, 4.00 , 5.89 
Tobias Linderoth,Sweden,DM,22,Stabaek IF,Everton,Eliteserien,2001-2002,Summer, 3.75 , 4.91 
Ian Walker,England,GK,29,Spurs,Leicester,Premier League,2001-2002,Summer, 3.75 , 6.22 
Gustavo Poyet,Uruguay,AM,33,Chelsea,Spurs,Premier League,2001-2002,Summer, 3.40 , 7.01 
Abdeslam Ouaddou,Morocco,CB,22,AS Nancy,Fulham,Ligue 2,2001-2002,Summer, 3.30 , 4.75 
Nils-Eric Johansson,Sweden,LB,21,1.FC Nuremberg,Blackburn,Bundesliga,2001-2002,Summer, 3.00 , 5.62 
Hakan Ünsal,Turkey,LB,28,Galatasaray,Blackburn,Super Lig,2001-2002,Winter, 3.00 , 4.77 
Jason McAteer,Ireland,RM,30,Blackburn,Sunderland,Premier League,2001-2002,Summer, 3.00 , 5.11 
Roy Carroll,Northern Ireland,GK,23,Wigan,United,Championship,2001-2002,Summer, 3.00 , 6.02 
Jonathan Greening,England,CM,22,United,Middlesbrough,Premier League,2001-2002,Summer, 3.00 , 7.05 
Brett Ormerod,England,CF,25,Blackpool,Southampton,Championship,2001-2002,Winter, 2.65 , 6.06 
Dennis Wise,England,DM,34,Chelsea,Leicester,Premier League,2001-2002,Summer, 2.40 , 4.62 
Luís Boa Morte,Portugal,LM,23,Southampton,Fulham,Premier League,2001-2002,Summer, 2.30 , 7.20 
Mark Wilson,England,CM,22,United,Middlesbrough,Premier League,2001-2002,Summer, 2.30 , 5.44 
Mark Draper,England,AM,30,Villa,Southampton,Premier League,2001-2002,Summer, 2.25 , 5.07 
Joachim Björklund,Sweden,CB,30,Venezia,Sunderland,Serie A,2001-2002,Winter, 2.23 , 5.72 
Tugay Kerimoglu,Turkey,DM,30,Rangers,Blackburn, SPL,2001-2002,Summer, 1.95 , 7.41 
Ulrich Le Pen,France,LW,27,FC Lorient,Ipswich,Ligue 1,2001-2002,Summer, 1.95 , 4.77 
Thomas Gaardsöe,Denmark,CB,22,Aalborg BK,Ipswich, Denmark,2001-2002,Summer, 1.80 , 6.01 
Rio Ferdinand,England,CB,23,Leeds,United,Premier League,2002-2003,Summer, 46.00 , 8.53 
Nicolas Anelka,France,CF,23,Paris SG,City,Ligue 1,2002-2003,Summer, 15.00 , 7.91 
El-Hadji Diouf,Senegal,CF,21,Lens,Liverpool,Ligue 1,2002-2003,Summer, 15.00 , 6.58 
Jonathan Woodgate,England,CB,23,Leeds,Newcastle,Premier League,2002-2003,Winter, 13.50 , 7.85 
Hugo Viana,Portugal,CM,19,Sporting CP,Newcastle,Liga NOS,2002-2003,Summer, 12.75 , 5.42 
Massimo Maccarone,Italy,CF,22,FC Empoli,Middlesbrough,Serie A,2002-2003,Summer, 12.38 , 6.35 
Tore André Flo,Norway,CF,29,Rangers,Sunderland, SPL,2002-2003,Summer, 11.00 , 5.37 
Robbie Keane,Ireland,CF,21,Leeds,Spurs,Premier League,2002-2003,Summer, 10.50 , 8.12 
Robbie Fowler,England,CF,27,Leeds,City,Premier League,2002-2003,Summer, 9.80 , 6.88 
Lee Hughes,England,CF,26,Coventry,West Brom,Championship,2002-2003,Summer, 9.00 , 6.72 
Salif Diao,Senegal,DM,25,CS Sedan,Liverpool,Ligue 1,2002-2003,Summer, 7.50 , 5.07 
Gilberto Silva,Brazil,DM,25,Atlético-MG,Arsenal, Brasileiro,2002-2003,Summer, 6.90 , 7.94 
George Boateng,Netherlands,DM,26,Villa,Middlesbrough,Premier League,2002-2003,Summer, 6.90 , 7.22 
Juninho Paulista,Brazil,AM,29,Atlético Madrid,Middlesbrough,La Liga,2002-2003,Summer, 6.90 , 7.27 
Titus Bramble,England,CB,20,Ipswich,Newcastle,Championship,2002-2003,Summer, 6.80 , 5.72 
Bruno Cheyrou,France,CM,24,LOSC Lille,Liverpool,Ligue 1,2002-2003,Summer, 6.50 , 5.22 
Clinton Morrison,England,CF,23,Palace,Birmingham,Championship,2002-2003,Summer, 6.38 , 6.49 
Sylvain Distin,France,CB,24,Paris SG,City,Ligue 1,2002-2003,Summer, 6.00 , 7.13 
Richard Wright,England,GK,24,Arsenal,Everton,Premier League,2002-2003,Summer, 5.50 , 5.30 
Gary Rowett,England,RB,28,Leicester,Charlton,Championship,2002-2003,Summer, 5.25 , 5.28 
Matt Piper,England,RM,20,Leicester,Sunderland,Championship,2002-2003,Summer, 5.25 , 5.07 
Michael Ricketts,England,CF,24,Bolton,Middlesbrough,Premier League,2002-2003,Winter, 5.25 , 5.15 
Marcus Stewart,England,CF,29,Ipswich,Sunderland,Championship,2002-2003,Summer, 4.88 , 7.28 
Stephen Wright,England,RB,22,Liverpool,Sunderland,Premier League,2002-2003,Summer, 4.50 , 5.22 
David Sommeil,Guadelope,CB,27,G. Bordeaux,City,Ligue 1,2002-2003,Summer, 4.50 , 4.92 
Nick Barmby,England,LM,28,Liverpool,Leeds,Premier League,2002-2003,Summer, 4.50 , 4.97 
Pascal Cygan,France,CB,28,LOSC Lille,Arsenal,Ligue 1,2002-2003,Summer, 3.83 , 5.42 
Franck Queudrue,France,LB,23,Lens,Middlesbrough,Ligue 1,2002-2003,Summer, 3.75 , 7.17 
David Prutton,England,CM,21,Nottm Forest,Southampton,Championship,2002-2003,Summer, 3.75 , 5.07 
Mart Poom,Estonia,GK,30,Derby,Sunderland,Championship,2002-2003,Winter, 3.75 , 5.13 
Dwight Yorke,Trinidad and Tobago,CF,30,United,Blackburn,Premier League,2002-2003,Summer, 3.50 , 6.87 
Jason Koumas,Wales,AM,22,Tranmere Rovers,West Brom,Second Division,2002-2003,Summer, 3.45 , 6.79 
Antti Niemi,Finland,GK,30,Heart of Midl.,Southampton,SPL,2002-2003,Summer, 3.00 , 7.37 
Michael Svensson,Sweden,CB,26,Troyes,Southampton,Ligue 1,2002-2003,Summer, 3.00 , 6.77 
Marcus Allbäck,Sweden,CF,29,Heerenveen,Villa,Eredivisie,2002-2003,Summer, 3.00 , 5.02 
Facundo Sava,Argentina,CF,28,Gimnasia,Fulham,Primeria Division,2002-2003,Summer, 3.00 , 5.06 
Lee Carsley,Ireland,DM,28,Coventry,Everton,Championship,2002-2003,Summer, 2.85 , 7.39 
Ulises de la Cruz,Ecuador,RB,28,Hibernian FC,Villa, SPL,2002-2003,Summer, 2.70 , 5.24 
Sean Gregan,England,CB,28,Preston NE,West Brom,Championship,2002-2003,Summer, 2.50 , 5.31 
Anthony Le Tallec,France,CF,17,Le Havre U19,Liverpool,Ligue 1,2002-2003,Summer, 2.50 , 4.88 
David Thompson,England,RM,24,Coventry,Blackburn,Championship,2002-2003,Summer, 2.25 , 5.19 
Danny Higginbotham,Gilbartar,CB,24,Derby,Southampton,Championship,2002-2003,Winter, 2.25 , 5.67 
Aliou Cissé,Senegal,DM,26,Paris SG,Birmingham,Ligue 1,2002-2003,Summer, 2.25 , 5.20 
Chris Riggott,England,CB,22,Derby,Middlesbrough,Championship,2002-2003,Summer, 2.23 , 6.88 
Robbie Savage,Wales,CM,27,Leicester,Birmingham,Championship,2002-2003,Summer, 1.88 , 7.22 
Jamie Clapham,England,LB,27,Ipswich,Birmingham,Championship,2002-2003,Winter, 1.85 , 6.12 
Andy Todd,England,CB,27,Charlton,Blackburn,Premier League,2002-2003,Summer, 1.50 , 6.80 
Darren Ambrose,England,LM,19,Ipswich,Newcastle,Championship,2002-2003,Winter, 1.50 , 5.57 
Matthew Upson,England,CB,23,Arsenal,Birmingham,Premier League,2002-2003,Winter, 1.40 , 6.29 
Stephen Clemence,England,RM,24,Spurs,Birmingham,Premier League,2002-2003,Winter, 1.35 , 5.91 
Hermann Hreidarsson,Iceland,CB,28,Ipswich,Charlton,Championship,2002-2003,Winter, 1.20 , 7.04 
Mark Kinsella,Ireland,DM,29,Charlton,Villa,Premier League,2002-2003,Summer, 1.15 , 6.11 
Lee Marshall,England,CM,23,Leicester,West Brom,Championship,2002-2003,Summer, 1.05 , 5.09 
Mikkel Bischoff,Denmark,CB,20,Akademisk BK,City, Denmark,2002-2003,Summer, 0.95 , 4.77 
Hernán Crespo,Argentina,CF,28,Inter,Chelsea,Serie A,2003-2004,Summer, 26.00 , 6.92 
Damien Duff,Ireland,RM,24,Blackburn,Chelsea,Premier League,2003-2004,Summer, 24.50 , 7.28 
Juan Sebastián Verón,Argentina,CM,28,United,Chelsea,Premier League,2003-2004,Summer, 21.50 , 5.69 
Claude Makélélé,France,DM,30,Real Madrid,Chelsea,La Liga,2003-2004,Summer, 20.00 , 8.02 
José Antonio Reyes,Spain,RW,20,Sevilla,Arsenal,La Liga,2003-2004,Summer, 20.00 , 7.04 
Adrian Mutu,Romania,CF,24,Parma,Chelsea,Serie A,2003-2004,Summer, 19.00 , 5.25 
Cristiano Ronaldo,Portugal,CF,18,Sporting CP,United,Liga NOS,2003-2004,Summer, 19.00 , 8.57 
Louis Saha,France,CF,25,Fulham,United,Premier League,2003-2004,Winter, 17.50 , 6.43 
Scott Parker,England,CM,23,Charlton,Chelsea,Premier League,2003-2004,Winter, 14.00 , 5.97 
Wayne Bridge,England,LB,22,Southampton,Chelsea,Premier League,2003-2004,Summer, 10.50 , 6.81 
Jermain Defoe,England,CF,21,West Ham,Spurs,Championship,2003-2004,Summer, 10.50 , 7.13 
Harry Kewell,Australia,LW,24,Leeds,Liverpool,Premier League,2003-2004,Summer, 10.00 , 5.72 
Njitap Geremi,Cameroon,RB,24,Real Madrid,Chelsea,La Liga,2003-2004,Summer, 10.00 , 6.98 
Joe Cole,England,AM,21,West Ham,Chelsea,Championship,2003-2004,Summer, 9.90 , 7.21 
Barry Ferguson,Scotland,DM,25,Rangers,Blackburn,SPL,2003-2004,Summer, 9.75 , 5.44 
Hélder Postiga,Portugal,CF,20,FC Porto,Spurs,Liga NOS,2003-2004,Summer, 9.00 , 4.52 
Kléberson,Brazil,CM,24,Atlético-PR,United, Brasileiro,2003-2004,Summer, 8.60 , 5.57 
Glen Johnson,England,RB,18,West Ham,Chelsea,Championship,2003-2004,Summer, 8.30 , 6.23 
David Dunn,England,AM,23,Blackburn,Birmingham,Premier League,2003-2004,Summer, 8.25 , 6.46 
Joseph Yobo,Nigeria,CB,22,Marseille,Everton,Ligue 1,2003-2004,Summer, 6.00 , 7.22 
Aleksey Smertin,Russia,DM,28,G. Bordeaux,Chelsea,Ligue 1,2003-2004,Summer, 5.50 , 5.61 
Frédéric Kanouté,Mali,CF,25,West Ham,Spurs,Championship,2003-2004,Summer, 5.25 , 6.38 
Steve Finnan,Ireland,RB,27,Fulham,Liverpool,Premier League,2003-2004,Summer, 5.25 , 7.35 
Kevin Phillips,England,CF,30,Sunderland,Southampton,Championship,2003-2004,Summer, 4.85 , 7.02 
Yakubu Aiyegbeni,Nigeria,CF,20,Maccabi Haifa,Portsmouth,Ligat ha'Al,2003-2004,Summer, 4.75 , 7.61 
Eric Djemba-Djemba,Cameroon,DM,22,FC Nantes,United,Ligue 1,2003-2004,Summer, 4.50 , 5.79 
Malcolm Christie,England,RW,24,Derby,Middlesbrough,Championship,2003-2004,Summer, 4.50 , 6.04 
Trevor Sinclair,England,LW,30,West Ham,City,Championship,2003-2004,Summer, 3.75 , 6.22 
Claudio Reyna,United States,CM,29,Sunderland,City,Championship,2003-2004,Summer, 3.75 , 7.03 
Steven Reid,England,RB,22,Millwall,Blackburn,Championship,2003-2004,Summer, 3.60 , 6.67 
Philippe Senderos,Switzerland,CB,18,Servette FC,Arsenal,Swiss Super League,2003-2004,Summer, 3.55 , 5.82 
Jens Lehmann,Germany,GK,33,Bor. Dortmund,Arsenal,Bundesliga,2003-2004,Summer, 3.50 , 7.75 
Collins John,Netherlands,CF,18,FC Twente,Fulham,Eredivisie,2003-2004,Summer, 3.50 , 6.42 
Gavin McCann,England,CM,25,Sunderland,Villa,Championship,2003-2004,Summer, 3.38 , 5.44 
Tim Howard,United States,GK,24,NY Red Bulls,United,MLS,2003-2004,Summer, 3.20 , 6.71 
Cesc Fàbregas,Spain,CM,16,Barcelona B,Arsenal,La Liga,2003-2004,Summer, 3.20 , 8.02 
David Bellion,France,CF,20,Sunderland,United,Championship,2003-2004,Summer, 3.00 , 5.15 
Thomas Sörensen,Denmark,GK,27,Sunderland,Villa,Championship,2003-2004,Summer, 3.00 , 7.55 
Brett Emerton,Australia,RM,24,Feyenoord,Blackburn,Eredivisie,2003-2004,Summer, 3.00 , 7.02 
Carl Cort,England,CF,26,Newcastle,Wolves,Premier League,2003-2004,Winter, 3.00 , 6.89 
David James,England,GK,33,West Ham,City,Championship,2003-2004,Winter, 2.80 , 7.15 
Dejan Stefanovic,Serbia,CB,28,Vitesse,Portsmouth,Eredivisie,2003-2004,Summer, 2.50 , 7.07 
Mbulelo Mabizela,South Africa,CB,22,Orlando Pirates,Spurs, South Africa,2003-2004,Summer, 2.30 , 4.82 
Eyal Berkovic,Israel,AM,31,City,Portsmouth,Premier League,2003-2004,Winter, 2.30 , 6.67 
Henri Camara,Senegal,CF,26,CS Sedan,Wolves,Ligue 2,2003-2004,Summer, 2.25 , 6.78 
Silas,Portugal,AM,26,Leiria,Wolves,Liga NOS,2003-2004,Summer, 2.25 , 4.55 
Maik Taylor,Northern Ireland,GK,32,Fulham,Birmingham,Premier League,2003-2004,Summer, 2.25 , 6.11 
Amdy Fayé,Senegal,DM,26,AJ Auxerre,Portsmouth,Ligue 1,2003-2004,Summer, 2.23 , 5.24 
Neil McCann,Scotland,LW,29,Rangers,Southampton,SPL,2003-2004,Summer, 2.23 , 5.46 
Lorenzo Amoruso,Italy,CB,32,Rangers,Blackburn,SPL,2003-2004,Summer, 2.10 , 5.22 
Bobby Zamora,England,CF,22,Brighton,Spurs,First Division,2003-2004,Summer, 2.00 , 5.04 
Nolberto Solano,Peru,RM,29,Newcastle,Villa,Premier League,2003-2004,Winter, 2.00 , 7.07 
Jody Craddock,England,CB,27,Sunderland,Wolves,Championship,2003-2004,Summer, 2.00 , 7.19 
Jon Stead,England,CF,20,Huddersfield,Blackburn,Championship,2003-2004,Winter, 1.88 , 6.08 
Vratislav Gresko,Slovakia,LB,25,Parma,Blackburn,Serie A,2003-2004,Summer, 1.80 , 5.42 
James McFadden,Scotland,SS,20,Motherwell FC,Everton,Premier League,2003-2004,Summer, 1.75 , 5.31 
